Date of sampling (1=1 April);Year;Nest;Contamination;Feather treatment;Plant treatment;Sampling;Presence Enterobacteriaceae (1st);Presence Staphylococcus (1st);Presence Enterococcus (1st);log mesophilic bacterial density (1st);log number of feathers (1st);log pigmented feathers (1st);log unpigmented feathers (1st);Sampling;Presence Enterobacteriaceae (2nd);Presence Staphylococcus (2nd);Presence Enterococcus (2nd);log mesophilic bacterial density (2nd);log number of feathers (2nd);log pigmented feathers (2nd);log unpigmented feathers (2nd)
19;2013;51;Cont;UnPigmented;No plants;1;0;0;0;0.564629488;1.791759469;1.098612289;1.386294361;2;0;0;1;1.311871842;3.465735903;1.609437912;3.33220451
20;2013;55;Cont;UnPigmented;No plants;1;0;0;0;1.352823842;1.945910149;0.693147181;1.791759469;2;0;0;0;0.696415882;3.610917913;0;3.610917913
21;2013;66;Cont;UnPigmented;Plants;1;0;0;1;0.89857231;1.945910149;1.609437912;1.098612289;2;0;0;1;1.376089319;2.708050201;0.693147181;2.63905733
18;2013;72;Cont;UnPigmented;Plants;1;0;0;0;0.843647084;0.693147181;0.693147181;0;2;0;0;0;1.297977353;3.258096538;0;3.258096538
19;2013;79;Cont;UnPigmented;No plants;1;0;0;1;1.61117816;1.386294361;0;1.386294361;2;0;0;0;0.938357764;3.63758616;0;3.63758616
19;2013;96;No Cont;UnPigmented;No plants;1;0;0;0;0.454622261;1.386294361;0.693147181;1.098612289;2;0;0;0;0.881440042;3.713572067;0;3.713572067
20;2013;98;Cont;UnPigmented;Plants;1;0;0;0;1.542793486;1.609437912;1.609437912;0;2;0;0;0;1.281749691;2.944438979;1.945910149;2.564949357
45;2013;10;No Cont;No feathers;Plants;1;0;0;0;1.930254107;1.098612289;0;1.098612289;2;0;0;0;1.598251731;2.302585093;0.693147181;2.197224577
19;2013;15;Cont;No feathers;No plants;1;0;0;0;1.071772655;2.302585093;1.386294361;1.945910149;2;0;0;0;0.150618274;3.828641396;0;3.828641396
19;2013;17;Cont;No feathers;Plants;1;0;0;0;1.178476487;3.17805383;2.772588722;2.197224577;2;0;0;0;0.876611203;3.33220451;0;3.33220451
26;2013;32;No Cont;No feathers;No plants;1;0;0;0;1.212831853;3.688879454;3.33220451;2.564949357;2;0;0;0;1.43469606;2.564949357;0;2.564949357
17;2013;36;No Cont;No feathers;Plants;1;1;0;0;0.635366653;2.079441542;1.386294361;1.609437912;2;0;0;0;0.971905209;3.465735903;1.098612289;3.401197382
18;2013;38;Cont;No feathers;No plants;1;0;0;0;-0.180651136;1.609437912;0.693147181;1.386294361;2;0;0;0;0.580881371;3.218875825;1.386294361;3.091042453
17;2013;42;Cont;No feathers;No plants;1;1;0;0;2.14865293;2.708050201;2.564949357;1.098612289;2;0;0;0;1.288011155;2.890371758;2.197224577;2.302585093
28;2013;47;No Cont;No feathers;No plants;1;0;0;0;1.204716208;2.48490665;0;0;2;0;0;1;1.714458918;2.944438979;2.197224577;2.397895273
17;2013;48;No Cont;No feathers;No plants;1;0;0;0;1.35084433;1.386294361;0;1.386294361;2;0;0;0;1.289220822;4.204692619;2.302585093;4.060443011
34;2013;49;No Cont;No feathers;Plants;1;0;0;0;1.668498569;2.944438979;1.609437912;2.708050201;2;1;0;0;1.112473906;3.044522438;0;3.044522438
19;2013;50;Cont;No feathers;No plants;1;0;0;0;1.127744186;1.791759469;0.693147181;1.609437912;2;0;0;0;1.373343884;2.890371758;0;2.890371758
31;2013;64;Cont;No feathers;Plants;1;0;0;0;2.107452768;1.386294361;0;1.386294361;2;0;1;1;1.853562647;2.772588722;1.098612289;2.63905733
19;2013;69;Cont;No feathers;Plants;1;0;0;0;1.119475105;0;0;0;2;0;0;0;1.028509796;2.708050201;1.945910149;2.197224577
29;2013;70;Cont;No feathers;No plants;1;0;0;0;1.485669324;1.609437912;0.693147181;1.386294361;2;0;0;1;1.583915767;2.397895273;2.197224577;1.098612289
21;2013;74;Cont;No feathers;No plants;1;0;0;0;1.646823282;1.791759469;0.693147181;1.609437912;2;0;0;0;1.526541294;2.564949357;0;2.564949357
21;2013;80;No Cont;No feathers;Plants;1;0;0;1;1.352913386;1.945910149;1.386294361;1.386294361;2;0;0;0;1.813225865;3.433987204;1.791759469;3.258096538
23;2013;88;No Cont;No feathers;Plants;1;0;0;0;2.099466487;2.397895273;1.098612289;2.197224577;2;0;0;1;1.902683134;2.995732274;0;2.995732274
17;2013;9;Cont;No feathers;Plants;1;0;0;0;-0.143719139;2.890371758;2.564949357;1.791759469;2;0;0;0;1.109869676;3.17805383;2.079441542;2.833213344
19;2013;93;Cont;No feathers;Plants;1;0;0;0;1.862225349;1.609437912;0;1.609437912;2;1;0;0;1.056544508;3.295836866;1.098612289;3.218875825
19;2013;94;No Cont;No feathers;No plants;1;0;0;0;1.122697057;0;0;0;2;0;0;0;0.594748604;3.761200116;1.098612289;3.713572067
20;2013;97;Cont;No feathers;Plants;1;0;0;0;0.71875358;2.397895273;1.098612289;2.197224577;2;0;0;0;1.441652774;2.995732274;1.098612289;2.890371758
31;2013;100;Cont;Pigmented;Plants;1;0;0;0;2.081127963;2.197224577;0;2.197224577;2;0;0;1;1.682181488;2.890371758;1.945910149;2.48490665
20;2013;104;Cont;Pigmented;No plants;1;0;0;0;1.269127527;2.302585093;2.197224577;0.693147181;2;0;0;0;1.220309457;1.945910149;1.945910149;0
18;2013;109;Cont;Pigmented;No plants;1;0;0;0;1.445281832;3.401197382;3.295836866;1.386294361;2;0;0;0;1.406642751;3.80666249;2.995732274;3.258096538
26;2013;110;No Cont;Pigmented;Plants;1;0;0;0;1.420027476;2.197224577;1.945910149;1.098612289;2;0;0;0;1.427692034;2.564949357;1.945910149;1.945910149
20;2013;113;Cont;Pigmented;Plants;1;0;0;0;0.780432234;0.693147181;0;0.693147181;2;0;0;0;0.834971857;2.772588722;2.564949357;1.386294361
45;2013;116;Cont;Pigmented;Plants;1;0;0;0;1.048517132;1.791759469;0;1.791759469;2;0;0;0;1.485730351;2.708050201;2.397895273;1.609437912
17;2013;13;Cont;Pigmented;Plants;1;0;0;0;1.322572683;1.609437912;1.609437912;0;2;0;0;0;1.233866137;3.433987204;2.708050201;2.833213344
17;2013;34;Cont;Pigmented;No plants;1;0;0;0;1.891635604;3.044522438;2.708050201;1.945910149;2;0;0;0;1.233455788;3.850147602;2.772588722;3.465735903
18;2013;35;Cont;Pigmented;Plants;1;0;0;0;1.331411118;2.079441542;1.791759469;1.098612289;2;0;0;0;1.459558109;3.401197382;2.302585093;3.044522438
36;2013;4;No Cont;Pigmented;No plants;1;0;0;0;1.971797263;1.791759469;0.693147181;1.609437912;2;0;0;0;1.39031909;2.995732274;2.890371758;1.098612289
18;2013;40;No Cont;Pigmented;No plants;1;0;0;1;1.532282445;1.791759469;1.609437912;0.693147181;2;0;0;0;1.317242905;2.995732274;1.791759469;2.708050201
19;2013;53;No Cont;Pigmented;Plants;1;0;0;0;0.731271975;1.386294361;1.098612289;0.693147181;2;0;0;0;0.780576558;3.33220451;2.397895273;2.890371758
19;2013;6;Cont;Pigmented;No plants;1;0;0;0;1.028579788;1.386294361;0;1.386294361;2;0;0;0;0.60232889;3.63758616;2.772588722;3.135494216
29;2013;60;Cont;Pigmented;Plants;1;0;0;0;1.692964937;2.079441542;0;2.079441542;2;0;0;0;1.276263578;2.302585093;2.079441542;1.098612289
20;2013;61;No Cont;Pigmented;No plants;1;0;0;0;0.886867928;2.197224577;1.098612289;1.945910149;2;0;0;0;1.215800592;3.433987204;2.302585093;3.091042453
18;2013;7;Cont;Pigmented;No plants;1;0;0;0;1.155111481;1.791759469;1.386294361;1.098612289;2;0;0;0;1.242053322;4.219507705;2.833213344;3.951243719
19;2013;71;No Cont;Pigmented;No plants;1;0;0;0;1.386595795;1.386294361;0.693147181;1.098612289;2;0;0;0;1.041139591;3.044522438;2.302585093;2.48490665
20;2013;8;Cont;Pigmented;No plants;1;0;0;0;1.50140786;1.609437912;0.693147181;1.386294361;2;0;0;0;0.701247701;3.610917913;1.945910149;3.433987204
31;2013;84;Cont;Pigmented;Plants;1;0;0;0;1.539977769;2.708050201;2.302585093;1.791759469;2;0;0;0;1.629380724;2.564949357;1.945910149;1.945910149
21;2013;87;Cont;Pigmented;Plants;1;0;0;0;1.551794877;1.791759469;0;1.791759469;2;0;0;0;1.848726113;3.555348061;2.302585093;3.258096538
31;2013;91;Cont;Pigmented;Plants;1;0;0;0;2.440643868;2.63905733;1.609437912;2.302585093;2;0;0;0;1.392934651;2.890371758;0.693147181;2.833213344
21;2013;95;Cont;Pigmented;No plants;1;0;0;0;1.796965023;2.772588722;0;2.772588722;2;0;0;0;1.39861373;3.891820298;2.63905733;3.583518938
20;2013;99;Cont;Pigmented;Plants;1;1;0;1;1.314023555;2.708050201;0.693147181;2.63905733;2;0;0;0;1.403718478;3.80666249;2.48490665;3.526360525
